region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
gbr,United Kingdom,61,2,0.26657431850111546,0.25778155789082063,0.2753670791114103,1.6018972872162434,1.5835140997830803,1.6202804746494066,0.0175138,0.26657431850111546,0.3,4800.0,14.0,78.0,10,0.55
gbr,United Kingdom,64,2,0.2692857549031292,0.25415549320598146,0.28441601660027693,1.5901757403442265,1.5688172043010753,1.6115342763873777,0.0161426,0.2692857549031292,0.3,4800.0,20.0,84.0,10,0.55
gbr,United Kingdom,65,2,0.29079205981271145,0.28846706723514914,0.29311705239027375,1.6527857727857729,1.651891891891892,1.6536796536796536,0.01742825,0.29079205981271145,0.3,4800.0,26.0,78.0,10,0.55
gbr,United Kingdom,66,2,0.3070031326537882,0.293933924171224,0.32007234113635247,1.6554048386163027,1.6278563656147986,1.6829533116178068,0.01734865,0.3070031326537882,0.3,4800.0,26.0,84.0,10,0.55
gbr,United Kingdom,69,2,0.3291893439209,0.29815026821530205,0.36022841962649793,1.7113054154811205,1.6764069264069263,1.7462039045553146,0.0181144,0.3291893439209,0.3,7200.0,20.0,78.0,10,0.55
gbr,United Kingdom,72,2,0.33085351848755606,0.3300392671172941,0.3316677698578181,1.7121895000409515,1.6974972796517955,1.7268817204301075,0.01922935,0.33085351848755606,0.3,7200.0,26.0,84.0,10,0.55
gbr,United Kingdom,71,2,0.3342170849731455,0.32649756434647975,0.3419366055998112,1.7312033462033463,1.7261904761904763,1.7362162162162162,0.01903345,0.3342170849731455,0.3,7200.0,26.0,78.0,10,0.55
gbr,United Kingdom,67,2,0.3376502517328043,0.3068850607927543,0.3684154426728542,1.7364749962300046,1.6877005347593583,1.7852494577006508,0.019844599999999997,0.3376502517328043,0.3,7200.0,14.0,78.0,10,0.55
gbr,United Kingdom,68,2,0.3440180249157666,0.3339833459988031,0.35405270383273013,1.7174537540805224,1.7149075081610445,1.72,0.018037150000000002,0.3440180249157666,0.3,7200.0,14.0,84.0,10,0.55
gbr,United Kingdom,70,2,0.3532300415104606,0.3381715958398263,0.3682884871810949,1.7442445622286964,1.7344086021505376,1.7540805223068552,0.018773849999999998,0.3532300415104606,0.3,7200.0,20.0,84.0,10,0.55
ssf,Sub-Saharan Africa,58,2,0.06796431055371432,0.06093312779037318,0.07499549331705548,3.2535384411682795,3.1595289079229123,3.3475479744136463,0.027349149999999996,0.06796431055371432,0.44,12000.0,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,73,2,0.06946460590623373,0.05319040430954485,0.08573880750292259,3.3162513481617006,3.293121693121693,3.3393810032017077,0.02632515,0.06946460590623373,0.52,7200.0,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,94,2,0.08904035733350937,0.07633373199078552,0.10174698267623322,3.1704829683479385,3.088865096359743,3.2521008403361344,0.024023950000000002,0.08904035733350937,0.52,,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,76,2,0.0942777026382052,0.04518094712194003,0.14337445815447036,3.3740159339967253,3.284796573875803,3.463235294117647,0.0267019,0.0942777026382052,0.52,7200.0,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,61,2,0.09778814581670445,0.03379398635311572,0.16178230528029316,3.4233994948663042,3.3019271948608138,3.5448717948717947,0.028853649999999998,0.09778814581670445,0.44,20000.0,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,55,2,0.09817482526907731,0.08405905992820409,0.11229059060995054,3.111573289295432,3.0835117773019274,3.1396348012889366,0.025953,0.09817482526907731,0.44,12000.0,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,91,2,0.10286297039361439,0.0899278871117757,0.11579805367545307,3.1087770945287985,3.061974789915966,3.1555793991416308,0.023848499999999998,0.10286297039361439,0.52,,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,54,2,0.10315956700853068,0.09008456004378478,0.11623457397327659,3.1226061142576405,3.08963282937365,3.1555793991416308,0.0227748,0.10315956700853068,0.44,7200.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,39,2,0.10722138599135675,0.10035275837926422,0.11409001360344927,3.111024821304702,3.095289079229122,3.1267605633802815,0.02419405,0.10722138599135675,0.36,20000.0,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,92,2,0.11023384428003279,0.08909058464180003,0.13137710391826554,3.312073100477505,3.290460878885316,3.3336853220696936,0.0230915,0.11023384428003279,0.52,,18.0,70.0,18,0.45
